bridgedomain,gateway,mask,mac,status,vrf
Prod10,192.168.10.254,24,00:22:BD:F8:19:FF,created,Prod
Prod11,192.168.11.254,24,00:22:BD:F8:19:FF,created,Prod
Prod12,192.168.12.254,24,00:22:BD:F8:19:FF,created,Prod
Prod13,192.168.13.254,24,00:22:BD:F8:19:FF,created,Prod
Prod14,192.168.14.254,24,00:22:BD:F8:19:FF,created,Prod
Prod15,192.168.15.254,24,00:22:BD:F8:19:FF,created,Prod
Prod16,192.168.16.254,24,00:22:BD:F8:19:FF,created,Prod
Prod17,192.168.17.254,24,00:22:BD:F8:19:FF,created,Prod
Prod18,192.168.18.254,24,00:22:BD:F8:19:FF,created,Prod
Prod19,192.168.19.254,24,00:22:BD:F8:19:FF,created,Prod
Prod20,192.168.20.254,24,00:22:BD:F8:19:FF,created,Prod
Prod21,192.168.21.254,24,00:22:BD:F8:19:FF,created,Prod
Prod22,192.168.22.254,24,00:22:BD:F8:19:FF,created,Prod
Prod23,192.168.23.254,24,00:22:BD:F8:19:FF,created,Prod
Prod24,192.168.24.254,24,00:22:BD:F8:19:FF,created,Prod
Prod25,192.168.25.254,24,00:22:BD:F8:19:FF,created,Prod
Prod26,192.168.26.254,24,00:22:BD:F8:19:FF,created,Prod
Prod27,192.168.27.254,24,00:22:BD:F8:19:FF,created,Prod
Prod28,192.168.28.254,24,00:22:BD:F8:19:FF,created,Prod
Prod29,192.168.29.254,24,00:22:BD:F8:19:FF,created,Prod
