bridgedomain,gateway,mask,mac,status,vrf
Prod10,192.168.10.254,24,00:22:BD:F8:19:FF,deleted,Prod
Prod11,192.168.11.254,24,00:22:BD:F8:19:FF,deleted,Prod
Prod12,192.168.12.254,24,00:22:BD:F8:19:FF,deleted,Prod
Prod13,192.168.13.254,24,00:22:BD:F8:19:FF,deleted,Prod
Prod14,192.168.14.254,24,00:22:BD:F8:19:FF,deleted,Prod
Prod15,192.168.15.254,24,00:22:BD:F8:19:FF,deleted,Prod
Prod16,192.168.16.254,24,00:22:BD:F8:19:FF,deleted,Prod
Prod17,192.168.17.254,24,00:22:BD:F8:19:FF,deleted,Prod
Prod18,192.168.18.254,24,00:22:BD:F8:19:FF,deleted,Prod
Prod10,192.168.10.1,24,00:22:BD:F8:22:22,created,Prod
Prod11,192.168.11.1,24,00:22:BD:F8:22:22,created,Prod
Prod12,192.168.12.1,24,00:22:BD:F8:22:22,created,Prod
Prod13,192.168.13.1,24,00:22:BD:F8:22:22,created,Prod
Prod14,192.168.14.1,24,00:22:BD:F8:22:22,created,Prod
Prod15,192.168.15.1,24,00:22:BD:F8:22:22,created,Prod
Prod16,192.168.16.1,24,00:22:BD:F8:22:22,created,Prod
Prod17,192.168.17.1,24,00:22:BD:F8:22:22,created,Prod
Prod18,192.168.18.1,24,00:22:BD:F8:22:22,created,Prod
